 Cycle Period    Power(1)    Power(2)    Power(3)    Power(4)    Power(5)    Power(6)    Power(7)    Power(8)    Power(9)    Power(10)
   360     12     1.93676     1.78598     1.78598     1.78598     1.93676     1.78598     2.06463     1.78598     1.93676     1.29480
   360     13     1.80622     1.80622     1.94749     1.94749     1.94749     1.32718     1.94749     1.80622     1.32718     1.94749
   361      7     0.43148     0.43148     0.43148     0.43148     0.35403     0.43148     0.43148     0.43148     0.43148     0.43148
   361      8     0.91622     0.91622     0.91622     0.91622     0.91622     0.91622     0.91622     0.91622     0.91622     0.91622
   361      9     1.34063     1.34063     1.34063     1.34063     1.34063     1.34063     1.34063     1.34063     1.34063     1.34063
   361     10     1.59135     1.59135     1.06194     1.06194     1.70588     1.59135     1.59135     1.59135     1.59135     1.06194
   361     11     1.12028     1.18061     1.76641     1.18061     1.18061     1.88729     1.76641     1.93603     1.76641     1.18061
   361     12     1.12028     1.12028     1.71324     1.85385     1.85385     1.71324     1.85385     1.71324     1.71324     1.85385
   362      7     0.73275     0.73275     0.73275     0.73275     0.73275     0.73275     0.73275     0.73275     0.73275     0.73275
   362      8     0.97133     0.97133     0.97133     0.97133     0.97133     0.97133     0.97133     0.97133     0.97133     0.97133
   362      9     1.45267     1.34064     1.45267     0.00000     1.45267     1.45267     1.34064     1.45267     1.45267     1.45267
   362     10     1.12028     1.88127     1.73027     1.73027     1.13802     1.12028     1.58619     1.88127     1.73027     1.12028
   362     11     2.09529     2.09529     2.09529     2.09529     2.09529     1.77008     2.15632     2.09529     2.09529     1.93117
   362     12     1.06210     2.04185     1.87653     2.25479     2.04185     2.04185     2.04185     2.04185     0.70807     2.19729
   362     13     2.05470     2.17755     2.05470     1.06210     2.05470     2.05470     2.05470     2.05470     2.05470     2.05470
   363      7     0.80555     0.80555     0.80555     0.80555     0.80555     0.80555     0.80555     0.80555     0.80555     0.80555
   363      8     1.06510     1.06510     1.06510     1.06510     1.06510     1.06510     1.30269     1.06510     1.06510     1.06510
   363      9     1.05570     1.05570     1.05570     1.62719     1.05570     1.05570     1.62719     1.05570     1.05570     1.05570
   363     10     1.93146     1.75902     1.75902     1.93146     1.93146     1.93146     1.75902     1.93146     1.93146     1.93146
   363     11     2.45674     2.37895     2.45674     2.45674     2.37895     2.45674     2.37895     2.37895     2.15586     2.15586
   363     12     2.41041     2.41041     2.50554     2.50554     2.50554     2.41041     2.57864     2.57864     1.87653     2.24056
   363     13     2.42294     2.56621     1.87653     2.56621     2.24056     2.24056     2.56621     2.56621     1.87653     2.50456
   364      6     0.35403     0.36014     0.36014     0.36014     0.36014     0.36014     0.36014     0.36014     0.35403     0.36014
